caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
164,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Rarely,Rarely,Rarely
165,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Rarely,Sometimes,Often
166,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Often,Sometimes,Very often
167,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Sometimes,Rarely,Sometimes,Rarely
168,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Rarely,Very often,Never,Never
169,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
170,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Often,,Sometimes,Often
171,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Never,Sometimes,Never
172,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
173,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Rarely,Sometimes,Never,Never
174,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Rarely,Sometimes,Often
175,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
176,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Rarely,Rarely,Often
177,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Sometimes,Rarely,Rarely
178,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
179,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Rarely
180,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes
181,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Rarely,Rarely,Sometimes,Sometimes
182,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Rarely,Never,Very often,Sometimes
183,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,Often,Often,Often
184,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Often,Often,Often
185,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Sometimes
186,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Very often,Never,Never,Never
187,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Sometimes
188,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Never,Rarely,Rarely,Rarely
189,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Sometimes
191,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Often,Never,Sometimes,Rarely
192,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,,Strongly disagree,Agree,Agree,Agree,Disagree,Sometimes,,Sometimes,Sometimes
193,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Rarely,Sometimes,,Sometimes
194,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Often,Often,Often,Often
195,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,
196,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Rarely,Never,Sometimes,Never
197,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Never,Rarely,Rarely
198,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Never,Never,Rarely,Never
199,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Sometimes,Often
200,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Rarely,Sometimes
201,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Never,Never,Never,Never
202,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Rarely,Rarely,Often
203,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Sometimes,Never,Often,
204,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
205,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Often,Rarely,Rarely
206,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Very often,Very often,Rarely,Sometimes
207,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Rarely
208,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Very often,Very often,Very often
209,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Sometimes,Rarely
210,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Rarely,Rarely,Sometimes,Never
211,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Sometimes
212,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Rarely,Sometimes,Sometimes,Often
213,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Rarely,Rarely,Never,Never
214,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
215,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Rarely,Rarely,Often
216,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Never,Often,Never,Never
